"Heat generation (TJ) by Country/area, Technology, Producer Type and Year"

"Country/area","Technology","Producer Type","Year",Heat generation (TJ)
"Albania","Solid biofuels","Combined Heat and Power (CHP)","2017",0.000
"Albania","Solid biofuels","Combined Heat and Power (CHP)","2018",0.000
"Albania","Solid biofuels","Combined Heat and Power (CHP)","2019",0.000
"Albania","Solid biofuels","Combined Heat and Power (CHP)","2020",0.000
"Albania","Solid biofuels","Combined Heat and Power (CHP)","2021",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2000",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2001",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2002",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2003",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2004",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2005",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2006",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2007",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2008",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2009",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2010",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2011",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2012",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2013",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2014",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2015",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2016",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2017",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2018",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2019",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2020",0.000
"Albania","Renewable municipal waste","Heat (Commercial)","2021",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2000",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2001",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2002",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2003",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2004",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2005",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2006",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2007",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2008",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2009",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2010",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2011",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2012",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2013",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2014",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2015",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2016",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2017",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2018",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2019",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2020",0.000
"Albania","Renewable municipal waste","Combined Heat and Power (CHP)","2021",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2000",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2001",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2002",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2003",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2004",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2005",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2006",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2007",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2008",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2009",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2010",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2011",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2012",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2013",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2014",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2015",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2016",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2017",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2018",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2019",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2020",0.000
"Albania","Liquid biofuels","Heat (Commercial)","2021",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2000",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2001",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2002",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2003",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2004",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2005",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2006",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2007",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2008",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2009",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2010",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2011",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2012",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2013",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2014",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2015",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2016",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2017",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2018",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2019",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2020",0.000
"Albania","Liquid biofuels","Combined Heat and Power (CHP)","2021",0.000
"Albania","Biogas","Heat (Commercial)","2000",0.000
"Albania","Biogas","Heat (Commercial)","2001",0.000
"Albania","Biogas","Heat (Commercial)","2002",0.000
"Albania","Biogas","Heat (Commercial)","2003",0.000
"Albania","Biogas","Heat (Commercial)","2004",0.000
"Albania","Biogas","Heat (Commercial)","2005",0.000
"Albania","Biogas","Heat (Commercial)","2006",0.000
"Albania","Biogas","Heat (Commercial)","2007",0.000
"Albania","Biogas","Heat (Commercial)","2008",0.000
"Albania","Biogas","Heat (Commercial)","2009",0.000
"Albania","Biogas","Heat (Commercial)","2010",0.000
"Albania","Biogas","Heat (Commercial)","2011",0.000
"Albania","Biogas","Heat (Commercial)","2012",0.000
"Albania","Biogas","Heat (Commercial)","2013",0.000
"Albania","Biogas","Heat (Commercial)","2014",0.000
"Albania","Biogas","Heat (Commercial)","2015",0.000
"Albania","Biogas","Heat (Commercial)","2016",0.000
"Albania","Biogas","Heat (Commercial)","2017",0.000
"Albania","Biogas","Heat (Commercial)","2018",0.000
"Albania","Biogas","Heat (Commercial)","2019",0.000
"Albania","Biogas","Heat (Commercial)","2020",0.000
"Albania","Biogas","Heat (Commercial)","2021",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2000",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2001",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2002",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2003",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2004",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2005",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2006",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2007",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2008",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2009",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2010",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2011",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2012",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2013",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2014",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2015",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2016",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2017",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2018",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2019",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2020",0.000
"Albania","Biogas","Combined Heat and Power (CHP)","2021",0.000
"Albania","Geothermal energy","Heat (Commercial)","2000",0.000
"Albania","Geothermal energy","Heat (Commercial)","2001",0.000
"Albania","Geothermal energy","Heat (Commercial)","2002",0.000
"Albania","Geothermal energy","Heat (Commercial)","2003",0.000
"Albania","Geothermal energy","Heat (Commercial)","2004",0.000
"Albania","Geothermal energy","Heat (Commercial)","2005",0.000
"Albania","Geothermal energy","Heat (Commercial)","2006",0.000
"Albania","Geothermal energy","Heat (Commercial)","2007",0.000
"Albania","Geothermal energy","Heat (Commercial)","2008",0.000
"Albania","Geothermal energy","Heat (Commercial)","2009",0.000
"Albania","Geothermal energy","Heat (Commercial)","2010",0.000
"Albania","Geothermal energy","Heat (Commercial)","2011",0.000
"Albania","Geothermal energy","Heat (Commercial)","2012",0.000
"Albania","Geothermal energy","Heat (Commercial)","2013",0.000
"Albania","Geothermal energy","Heat (Commercial)","2014",0.000
"Albania","Geothermal energy","Heat (Commercial)","2015",0.000
"Albania","Geothermal energy","Heat (Commercial)","2016",0.000
"Albania","Geothermal energy","Heat (Commercial)","2017",0.000
"Albania","Geothermal energy","Heat (Commercial)","2018",0.000
"Albania","Geothermal energy","Heat (Commercial)","2019",0.000
"Albania","Geothermal energy","Heat (Commercial)","2020",0.000
"Albania","Geothermal energy","Heat (Commercial)","2021",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2000",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2001",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2002",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2003",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2004",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2005",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2006",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2007",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2008",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2009",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2010",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2011",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2012",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2013",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2014",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2015",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2016",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2017",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2018",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2019",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2020",0.000
"Albania","Geothermal energy","Combined Heat and Power (CHP)","2021",0.000
"Albania","Other renewable energy","Heat (Commercial)","2000",0.000
"Albania","Other renewable energy","Heat (Commercial)","2001",0.000
"Albania","Other renewable energy","Heat (Commercial)","2002",0.000
"Albania","Other renewable energy","Heat (Commercial)","2003",0.000
"Albania","Other renewable energy","Heat (Commercial)","2004",0.000
"Albania","Other renewable energy","Heat (Commercial)","2005",0.000
"Albania","Other renewable energy","Heat (Commercial)","2006",0.000
"Albania","Other renewable energy","Heat (Commercial)","2007",0.000
"Albania","Other renewable energy","Heat (Commercial)","2008",0.000
"Albania","Other renewable energy","Heat (Commercial)","2009",0.000
"Albania","Other renewable energy","Heat (Commercial)","2010",0.000
"Albania","Other renewable energy","Heat (Commercial)","2011",0.000
"Albania","Other renewable energy","Heat (Commercial)","2012",0.000
"Albania","Other renewable energy","Heat (Commercial)","2013",0.000
"Albania","Other renewable energy","Heat (Commercial)","2014",0.000
"Albania","Other renewable energy","Heat (Commercial)","2015",0.000
"Albania","Other renewable energy","Heat (Commercial)","2016",0.000
"Albania","Other renewable energy","Heat (Commercial)","2017",0.000
"Albania","Other renewable energy","Heat (Commercial)","2018",0.000
"Albania","Other renewable energy","Heat (Commercial)","2019",0.000
"Albania","Other renewable energy","Heat (Commercial)","2020",0.000
"Albania","Other renewable energy","Heat (Commercial)","2021",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2000",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2001",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2002",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2003",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2004",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2005",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2006",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2007",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2008",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2009",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2010",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2011",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2012",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2013",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2014",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2015",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2016",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2017",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2018",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2019",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2020",0.000
"Albania","Other renewable energy","Combined Heat and Power (CHP)","2021",0.000
"Albania","Coal and peat","Heat (Commercial)","2000",84.000
"Albania","Coal and peat","Heat (Commercial)","2001",109.000
"Albania","Coal and peat","Heat (Commercial)","2002",77.000
"Albania","Coal and peat","Heat (Commercial)","2003",0.000
"Albania","Coal and peat","Heat (Commercial)","2004",0.000
"Albania","Coal and peat","Heat (Commercial)","2005",0.000
"Albania","Coal and peat","Heat (Commercial)","2006",0.000
"Albania","Coal and peat","Heat (Commercial)","2007",0.000
"Albania","Coal and peat","Heat (Commercial)","2008",0.000
"Albania","Coal and peat","Heat (Commercial)","2009",0.000
"Albania","Coal and peat","Heat (Commercial)","2010",0.000
"Albania","Coal and peat","Heat (Commercial)","2011",0.000
"Albania","Coal and peat","Heat (Commercial)","2012",0.000
"Albania","Coal and peat","Heat (Commercial)","2013",0.000
"Albania","Coal and peat","Heat (Commercial)","2014",0.000
"Albania","Coal and peat","Heat (Commercial)","2015",0.000
"Albania","Coal and peat","Heat (Commercial)","2016",0.000
"Albania","Coal and peat","Heat (Commercial)","2017",0.000
"Albania","Coal and peat","Heat (Commercial)","2018",0.000
"Albania","Coal and peat","Heat (Commercial)","2019",0.000
"Albania","Coal and peat","Heat (Commercial)","2020",0.000
"Albania","Coal and peat","Heat (Commercial)","2021",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2000",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2001",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2002",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2003",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2004",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2005",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2006",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2007",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2008",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2009",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2010",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2011",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2012",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2013",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2014",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2015",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2016",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2017",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2018",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2019",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2020",0.000
"Albania","Coal and peat","Combined Heat and Power (CHP)","2021",0.000
"Albania","Oil","Heat (Commercial)","2000",0.000
"Albania","Oil","Heat (Commercial)","2001",0.000
"Albania","Oil","Heat (Commercial)","2002",0.000
"Albania","Oil","Heat (Commercial)","2003",0.000
"Albania","Oil","Heat (Commercial)","2004",0.000
"Albania","Oil","Heat (Commercial)","2005",0.000
"Albania","Oil","Heat (Commercial)","2006",0.000
"Albania","Oil","Heat (Commercial)","2007",0.000
"Albania","Oil","Heat (Commercial)","2008",0.000
"Albania","Oil","Heat (Commercial)","2009",0.000
"Albania","Oil","Heat (Commercial)","2010",0.000
"Albania","Oil","Heat (Commercial)","2011",0.000
"Albania","Oil","Heat (Commercial)","2012",0.000
"Albania","Oil","Heat (Commercial)","2013",0.000
"Albania","Oil","Heat (Commercial)","2014",0.000
"Albania","Oil","Heat (Commercial)","2015",0.000
"Albania","Oil","Heat (Commercial)","2016",0.000
"Albania","Oil","Heat (Commercial)","2017",0.000
"Albania","Oil","Heat (Commercial)","2018",0.000
"Albania","Oil","Heat (Commercial)","2019",0.000
"Albania","Oil","Heat (Commercial)","2020",0.000
"Albania","Oil","Heat (Commercial)","2021",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2000",145.000
"Albania","Oil","Combined Heat and Power (CHP)","2001",138.000
"Albania","Oil","Combined Heat and Power (CHP)","2002",188.000
"Albania","Oil","Combined Heat and Power (CHP)","2003",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2004",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2005",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2006",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2007",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2008",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2009",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2010",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2011",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2012",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2013",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2014",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2015",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2016",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2017",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2018",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2019",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2020",0.000
"Albania","Oil","Combined Heat and Power (CHP)","2021",0.000
"Albania","Natural gas","Heat (Commercial)","2000",0.000
"Albania","Natural gas","Heat (Commercial)","2001",0.000
"Albania","Natural gas","Heat (Commercial)","2002",0.000
"Albania","Natural gas","Heat (Commercial)","2003",0.000
"Albania","Natural gas","Heat (Commercial)","2004",0.000
"Albania","Natural gas","Heat (Commercial)","2005",0.000
"Albania","Natural gas","Heat (Commercial)","2006",0.000
"Albania","Natural gas","Heat (Commercial)","2007",0.000
"Albania","Natural gas","Heat (Commercial)","2008",0.000
"Albania","Natural gas","Heat (Commercial)","2009",0.000
"Albania","Natural gas","Heat (Commercial)","2010",0.000
"Albania","Natural gas","Heat (Commercial)","2011",0.000
"Albania","Natural gas","Heat (Commercial)","2012",0.000
"Albania","Natural gas","Heat (Commercial)","2013",0.000
"Albania","Natural gas","Heat (Commercial)","2014",0.000
"Albania","Natural gas","Heat (Commercial)","2015",0.000
"Albania","Natural gas","Heat (Commercial)","2016",0.000
"Albania","Natural gas","Heat (Commercial)","2017",0.000
"Albania","Natural gas","Heat (Commercial)","2018",0.000
"Albania","Natural gas","Heat (Commercial)","2019",0.000
"Albania","Natural gas","Heat (Commercial)","2020",0.000
"Albania","Natural gas","Heat (Commercial)","2021",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2000",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2001",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2002",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2003",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2004",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2005",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2006",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2007",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2008",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2009",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2010",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2011",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2012",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2013",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2014",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2015",0.000
"Albania","Natural gas","Combined Heat and Power (CHP)","2016",0.000
